origin,destination,mode,commodity,band,valueMmUsd,kilotons,megaTonMiles
0,0,1,1,0,3050,211829,6096
0,0,1,1,1,1628,116804,13559
0,0,1,1,2,37,2634,831
0,0,1,2,0,135,112062,1653
0,0,1,2,1,24,19971,3149
0,0,1,3,0,32,3075,66
0,0,1,3,1,1168,138182,22740
0,0,1,3,2,40,4549,1412
0,0,2,3,1,36,10267,1481
0,0,1,4,0,11,2505,57
0,0,1,4,1,1480,501938,103819
0,0,1,5,0,1306,49795,968
0,0,1,5,1,296,8553,1422
0,0,1,5,2,20,863,256
0,0,1,6,0,116,3064,123
0,0,1,6,2,23,591,192
0,0,1,7,0,2945,383211,15982
0,0,1,7,2,218,12428,3491
0,0,2,7,0,76,14138,241
0,0,1,8,0,856,52078,965
0,0,1,8,1,234,6907,1132
0,0,1,8,2,15,1143,394
0,0,1,9,0,225,120,3
0,0,1,9,1,107,98,19
0,0,1,10,0,584,280518,9437
0,0,1,11,0,142,1022871,29875
0,0,1,11,1,1,1566,358
0,0,1,12,0,233,2596712,41274
0,0,1,12,1,25,129311,24651
0,0,1,12,2,2,28276,8572
0,0,2,12,0,13,96720,1740
0,0,2,12,1,10,13730,2617
0,0,1,13,0,8,21312,351
0,0,1,13,1,4,523,65
0,0,1,13,2,6,1961,723
0,0,1,14,0,5,2971,52
0,0,1,15,0,366,469847,12609
0,0,1,15,1,93,99125,9930
0,0,1,15,2,2,2326,711
0,0,2,15,0,7,18099,585
0,0,2,15,1,106,199165,20150
0,0,1,16,0,12,3267,137
0,0,3,16,0,1,341,10
0,0,3,16,1,1,233,30
0,0,6,16,0,61,20103,607
0,0,1,17,0,3926,722861,32725
0,0,1,17,2,12,1102,351
0,0,1,18,0,2527,427988,21596
0,0,1,18,1,555,75880,12014
0,0,1,18,2,7,1336,377
0,0,6,18,0,15,2878,71
0,0,1,19,0,894,65806,2266
0,0,1,19,1,693,189574,28346
0,0,1,19,2,48,4120,1350
0,0,2,19,0,102,33350,582
0,0,6,19,0,13,5386,373
0,0,6,19,1,1356,580147,90158
0,0,1,20,0,240,73045,4421
0,0,1,20,1,82,25337,2627
0,0,1,20,2,53,20290,5396
0,0,2,20,0,93,10360,221
0,0,2,20,1,35,21585,2229
0,0,2,20,2,288,31575,8122
0,0,5,20,0,1,22,1
0,0,5,20,1,1,29,3
0,0,6,20,0,67,6938,171
0,0,6,20,1,293,40067,5757
0,0,1,21,0,949,3002,83
0,0,1,21,1,930,4401,660
0,0,1,21,2,32,105,31
0,0,5,21,0,748,170,11
0,0,5,21,1,1691,551,87
0,0,5,21,2,81,7,2
0,0,1,22,0,194,35360,554
0,0,1,22,1,13,476,119
0,0,1,23,0,411,24057,999
0,0,1,23,2,114,3742,1069
0,0,2,23,1,3,220,33
0,0,5,23,0,23,133,11
